Time (s),Temperature (C)
0.0,90.29974358974364
1.0,90.22359440559445
2.0,90.16708780108786
3.0,90.13022377622383
4.0,90.11300233100239
5.0,90.11542346542372
6.0,90.08568764568788
7.0,90.13372960372986
8.0,90.23832944832971
9.0,90.3969541569544
10.0,90.57902097902122
11.0,90.7538461538464
12.0,90.9623232323235
13.0,91.20689199689225
14.0,91.4837995337998
15.0,91.77734265734291
16.0,91.999704739705
17.0,92.28602952602978
18.0,92.5281196581199
19.0,92.80216006216033
20.0,93.07259518259544
21.0,93.3024009324012
22.0,93.56937839937865
23.0,93.81297591297617
24.0,94.04530691530717
25.0,94.31242424242451
26.0,94.52384615384642
27.0,94.74648795648822
28.0,94.96517482517508
29.0,95.26382284382312
30.0,95.50732711732739
31.0,95.7584693084696
32.0,95.94790986791013
33.0,96.18640248640277
34.0,96.45181818181845
35.0,96.71094017094045
36.0,96.91755244755272
37.0,97.13547008547035
38.0,97.42850815850845
39.0,97.75073038073066
40.0,97.99970473970502
41.0,98.30334110334138
42.0,98.50186480186507
43.0,98.74519036519064
44.0,98.9675058275061
45.0,99.16701631701659
46.0,99.30080808080835
47.0,99.5533100233103
48.0,99.7487801087804
49.0,99.88498834498863
50.0,100.03966588966618
51.0,100.2275835275838
52.0,100.33878787878815
53.0,100.44912198912228
54.0,100.525718725719
55.0,100.6673504273507
56.0,100.7729448329451
57.0,100.9705905205908
58.0,101.02058275058305
59.0,101.10544677544705
60.0,101.24937839937867
61.0,101.38909867909895
62.0,101.54199689199716
63.0,101.72193473193501
64.0,101.8944211344214
65.0,102.12396270396299
66.0,102.31519813519843
67.0,102.55814296814326
68.0,102.72208236208265
69.0,102.94453768453798
70.0,103.08814296814325
71.0,103.21503496503526
72.0,103.32937839937868
73.0,103.4108236208239
74.0,103.47084693084723
75.0,103.58816627816655
76.0,103.76230769230797
77.0,104.01094017094044
78.0,104.19425796425826
79.0,104.4084149184152
80.0,104.5880808080811
81.0,104.76082362082393
82.0,104.85484071484102
83.0,104.97237762237792
84.0,105.0794250194253
85.0,105.2341181041184
86.0,105.38617715617745
87.0,105.55700077700108
88.0,105.68597513597543
89.0,105.8471250971254
90.0,105.98735042735073
91.0,106.13731934731965
92.0,106.19439005439034
93.0,106.38639471639503
94.0,106.5551048951052
95.0,106.75479409479438
96.0,106.89672882672913
97.0,107.07769230769263
98.0,107.22237762237792
99.0,107.38231546231576
100.0,107.52422688422718
101.0,107.65139083139111
102.0,107.65205128205157
103.0,107.73411810411841
104.0,107.78205905205935
105.0,107.89664335664365
106.0,107.95938616938649
107.0,108.07786324786355
108.0,108.18826728826758
109.0,108.36080808080838
110.0,108.49094017094046
111.0,108.6043278943282
112.0,108.62993006993038
113.0,108.67532245532276
114.0,108.71083916083946
